week	id	location	sp	biomass	fgroup	stage	age	reped	chrm1	chrm2	radius
53	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>100.049)	p1	a	0	false	A	A	2
53	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>100.027)	p1	a	0	false	A	A	2
53	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0714397)	p1	j	0	false	A	A	0
53	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0714326)	p1	j	0	false	A	A	0
53	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0714343)	p1	j	0	false	A	A	0
54	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>100.061)	p1	a	0	false	A	A	2
54	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>100.039)	p1	a	0	false	A	A	2
54	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0714911)	p1	j	0	false	A	A	0
54	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.071484)	p1	j	0	false	A	A	0
54	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0714856)	p1	j	0	false	A	A	0
55	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>100.072)	p1	a	0	false	A	A	2
55	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>100.051)	p1	a	0	false	A	A	2
55	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0715424)	p1	j	0	false	A	A	0
55	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0715357)	p1	j	0	false	A	A	0
55	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.071537)	p1	j	0	false	A	A	0
56	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>100.084)	p1	a	0	false	A	A	2
56	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>100.063)	p1	a	0	false	A	A	2
56	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0715942)	p1	j	0	false	A	A	0
56	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0715868)	p1	j	0	false	A	A	0
56	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0715883)	p1	j	0	false	A	A	0
57	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>100.096)	p1	a	0	false	A	A	2
57	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>100.075)	p1	a	0	false	A	A	2
57	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0716457)	p1	j	0	false	A	A	0
57	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.071639)	p1	j	0	false	A	A	0
57	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0716396)	p1	j	0	false	A	A	0
58	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>100.108)	p1	a	0	false	A	A	2
58	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>100.087)	p1	a	0	false	A	A	2
58	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.071698)	p1	j	0	false	A	A	0
58	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0716914)	p1	j	0	false	A	A	0
58	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0716913)	p1	j	0	false	A	A	0
59	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>100.12)	p1	a	0	false	A	A	2
59	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>100.099)	p1	a	0	false	A	A	2
59	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0717497)	p1	j	0	false	A	A	0
59	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0717433)	p1	j	0	false	A	A	0
59	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0717428)	p1	j	0	false	A	A	0
60	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>100.131)	p1	a	0	false	A	A	2
60	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>100.111)	p1	a	0	false	A	A	2
60	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0718016)	p1	j	0	false	A	A	0
60	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0717948)	p1	j	0	false	A	A	0
60	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0717942)	p1	j	0	false	A	A	0
